security id,epochs,batch_size,threshold,accuracy,precision,recall,f1_score
500112,50,25,0.01,0.2906458797327394,0.2906458797327394,1.0,0.450388265746333
500112,100,32,0.02,0.2906458797327394,0.2906458797327394,1.0,0.450388265746333
500112,50,100,0.03,0.1514476614699332,0.1514476614699332,1.0,0.2630560928433269
500112,100,100,0.04,0.2906458797327394,0.2906458797327394,1.0,0.450388265746333
500112,25,25,0.05,0.08240534521158129,0.08240534521158129,1.0,0.15226337448559668
500180,25,32,0.01,0.1950947603121516,0.1950947603121516,1.0,0.3264925373134329
500180,25,25,0.02,0.07469342251950947,0.07469342251950947,1.0,0.13900414937759334
500180,25,25,0.03,0.03901895206243032,0.03901895206243032,1.0,0.07510729613733906
500180,25,25,0.04,0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524
500180,25,25,0.05,0.021181716833890748,0.021181716833890748,1.0,0.04148471615720524
500182,50,25,0.01,0.24555555555555555,0.24555555555555555,1.0,0.3942908117752007
500182,25,25,0.02,0.10444444444444444,0.10444444444444444,1.0,0.18913480885311876
500182,25,25,0.03,0.042222222222222223,0.042222222222222223,1.0,0.08102345415778253
500182,25,64,0.04,0.10444444444444444,0.10444444444444444,1.0,0.18913480885311876
500182,25,32,0.05,0.042222222222222223,0.042222222222222223,1.0,0.08102345415778253
500209,50,25,0.01,0.20467185761957726,0.20467185761957726,1.0,0.3397968605724838
500209,50,32,0.02,0.20467185761957726,0.20467185761957726,1.0,0.3397968605724838
500209,25,25,0.03,0.04449388209121246,0.04449388209121246,1.0,0.08519701810436635
500209,50,64,0.04,0.0878754171301446,0.0878754171301446,1.0,0.16155419222903886
500209,100,100,0.05,0.0878754171301446,0.0878754171301446,1.0,0.16155419222903886
500325,50,25,0.01,0.2525027808676307,0.2525027808676307,1.0,0.4031971580817051
500325,25,25,0.02,0.10122358175750834,0.10122358175750834,1.0,0.18383838383838386
500325,25,64,0.03,0.10122358175750834,0.10122358175750834,1.0,0.18383838383838386
500325,50,25,0.04,0.05005561735261402,0.05005561735261402,1.0,0.09533898305084744
500325,25,25,0.05,0.05005561735261402,0.05005561735261402,1.0,0.09533898305084744
500680,50,25,0.01,0.21818181818181814,0.21818181818181814,1.0,0.3582089552238806
500680,50,32,0.02,0.21818181818181814,0.21818181818181814,1.0,0.3582089552238806
500680,25,25,0.03,0.026136363636363638,0.026136363636363638,1.0,0.050941306755260235
500680,25,25,0.04,0.010227272727272729,0.010227272727272729,1.0,0.020247469066366704
500680,25,25,0.05,0.010227272727272729,0.010227272727272729,1.0,0.020247469066366704
507685,50,25,0.01,0.21540178571428573,0.21540178571428573,1.0,0.3544536271808999
507685,25,25,0.02,0.10491071428571427,0.10491071428571427,1.0,0.18989898989898996
507685,25,25,0.03,0.05580357142857143,0.05580357142857143,1.0,0.10570824524312897
507685,50,25,0.04,0.05580357142857143,0.05580357142857143,1.0,0.10570824524312897
507685,25,25,0.05,0.015625,0.015625,1.0,0.030769230769230767
530965,50,25,0.01,0.270391061452514,0.270391061452514,1.0,0.42568161829375545
530965,100,25,0.02,0.270391061452514,0.270391061452514,1.0,0.42568161829375545
530965,25,25,0.03,0.06927374301675977,0.06927374301675977,1.0,0.12957157784743992
530965,25,25,0.04,0.035754189944134075,0.035754189944134075,1.0,0.06903991370010787
530965,25,25,0.05,0.01899441340782123,0.01899441340782123,1.0,0.03728070175438596
532174,50,25,0.01,0.29175946547884185,0.29175946547884185,1.0,0.4517241379310345
532174,25,25,0.02,0.16369710467706014,0.16369710467706014,1.0,0.2813397129186603
532174,25,25,0.03,0.09242761692650334,0.09242761692650334,1.0,0.16921508664627932
532174,25,25,0.04,0.0534521158129176,0.0534521158129176,1.0,0.10147991543340383
532174,25,100,0.05,0.09242761692650334,0.09242761692650334,1.0,0.16921508664627932
532210,50,25,0.01,0.23732718894009214,0.23732718894009214,1.0,0.3836126629422719
532210,25,32,0.02,0.23732718894009214,0.23732718894009214,1.0,0.3836126629422719
532210,25,25,0.03,0.055299539170506916,0.055299539170506916,1.0,0.10480349344978168
532210,25,25,0.04,0.029953917050691243,0.029953917050691243,1.0,0.058165548098434
532210,25,25,0.05,0.055299539170506916,0.055299539170506916,1.0,0.10480349344978168
532540,50,25,0.01,0.234375,0.234375,1.0,0.37974683544303794
532540,25,32,0.02,0.234375,0.234375,1.0,0.37974683544303794
532540,25,25,0.03,0.05288461538461538,0.05288461538461538,1.0,0.1004566210045662
532540,25,25,0.04,0.02403846153846154,0.02403846153846154,1.0,0.046948356807511735
532540,50,32,0.05,0.02403846153846154,0.02403846153846154,1.0,0.046948356807511735
