company,root_mean_squared_error,mean_absolute_error,mean_squared_error,rsquared_adj
gr500112.csv,0.29269090630280314,0.027468776827687995,0.0856679666323563,-0.0010223946402687645
gr500180.csv,0.035349061381357495,0.014763454006700389,0.0012495561405429798,-0.09165696504923093
gr500182.csv,0.019631085913384565,0.01375557587656978,0.0003853795341386859,-0.0004792797195132259
gr500209.csv,0.018919811660801252,0.012803026476030046,0.000357959273280191,-0.0015524830424227254
gr500325.csv,0.020859311291735367,0.014769236541917079,0.00043511086756551856,-0.0021416113290273486
gr500680.csv,0.01713240591029497,0.011765464099514206,0.0002935193322751101,-0.0006663605382617455
gr507685.csv,0.04283639817141684,0.014666196310916863,0.0018349570083001636,-0.00025679239434839296
gr530965.csv,0.05611771387061864,0.018698467422313597,0.0031491978100646233,-0.0006658710770577336
gr532174.csv,0.1372356995517895,0.02289589383416467,0.018833637231469035,-0.0011664316231310146
gr532210.csv,0.023258690177758615,0.015539664489443774,0.0005409666687849652,-0.0026454691057717916
gr532540.csv,0.05313207893129765,0.01572381921670365,0.0028230178115616436,-0.0020492058918706313
